scaffold_id,spacegroup,global_var_index,var_name,block_kind,orbit_index,wyckoff_letter,dof_in_orbit,coord_local_index,is_periodic,geometry_type,wyckoff_sequence
SG216|1a;1b;1c;1d;6f,216,0,lattice_a,lattice,-1,,0,-1,False,positive_length,1a;1b;1c;1d;6f
SG216|1a;1b;1c;1d;6f,216,1,lattice_b,lattice,-1,,0,-1,False,positive_length,1a;1b;1c;1d;6f
SG216|1a;1b;1c;1d;6f,216,2,lattice_c,lattice,-1,,0,-1,False,positive_length,1a;1b;1c;1d;6f
SG216|1a;1b;1c;1d;6f,216,3,alpha,lattice,-1,,0,-1,False,angle_degree,1a;1b;1c;1d;6f
SG216|1a;1b;1c;1d;6f,216,4,beta,lattice,-1,,0,-1,False,angle_degree,1a;1b;1c;1d;6f
SG216|1a;1b;1c;1d;6f,216,5,gamma,lattice,-1,,0,-1,False,angle_degree,1a;1b;1c;1d;6f
SG216|1a;1b;1c;1d;6f,216,6,orbit4_fp0,wyckoff_orbit,4,6f,1,0,True,torus_fractional_coordinate,1a;1b;1c;1d;6f
SG194|2d;6h,194,0,lattice_a,lattice,-1,,0,-1,False,positive_length,2d;6h
SG194|2d;6h,194,1,lattice_b,lattice,-1,,0,-1,False,positive_length,2d;6h
SG194|2d;6h,194,2,lattice_c,lattice,-1,,0,-1,False,positive_length,2d;6h
SG194|2d;6h,194,3,alpha,lattice,-1,,0,-1,False,angle_degree,2d;6h
SG194|2d;6h,194,4,beta,lattice,-1,,0,-1,False,angle_degree,2d;6h
SG194|2d;6h,194,5,gamma,lattice,-1,,0,-1,False,angle_degree,2d;6h
SG194|2d;6h,194,6,orbit1_fp0,wyckoff_orbit,1,6h,1,0,True,torus_fractional_coordinate,2d;6h
SG221|1a;3c,221,0,lattice_a,lattice,-1,,0,-1,False,positive_length,1a;3c
SG221|1a;3c,221,1,lattice_b,lattice,-1,,0,-1,False,positive_length,1a;3c
SG221|1a;3c,221,2,lattice_c,lattice,-1,,0,-1,False,positive_length,1a;3c
SG221|1a;3c,221,3,alpha,lattice,-1,,0,-1,False,angle_degree,1a;3c
SG221|1a;3c,221,4,beta,lattice,-1,,0,-1,False,angle_degree,1a;3c
SG221|1a;3c,221,5,gamma,lattice,-1,,0,-1,False,angle_degree,1a;3c
SG139|1a;1b;2d,139,0,lattice_a,lattice,-1,,0,-1,False,positive_length,1a;1b;2d
SG139|1a;1b;2d,139,1,lattice_b,lattice,-1,,0,-1,False,positive_length,1a;1b;2d
SG139|1a;1b;2d,139,2,lattice_c,lattice,-1,,0,-1,False,positive_length,1a;1b;2d
SG139|1a;1b;2d,139,3,alpha,lattice,-1,,0,-1,False,angle_degree,1a;1b;2d
SG139|1a;1b;2d,139,4,beta,lattice,-1,,0,-1,False,angle_degree,1a;1b;2d
SG139|1a;1b;2d,139,5,gamma,lattice,-1,,0,-1,False,angle_degree,1a;1b;2d
SG139|1a;2d;2e,139,0,lattice_a,lattice,-1,,0,-1,False,positive_length,1a;2d;2e
SG139|1a;2d;2e,139,1,lattice_b,lattice,-1,,0,-1,False,positive_length,1a;2d;2e
SG139|1a;2d;2e,139,2,lattice_c,lattice,-1,,0,-1,False,positive_length,1a;2d;2e
SG139|1a;2d;2e,139,3,alpha,lattice,-1,,0,-1,False,angle_degree,1a;2d;2e
SG139|1a;2d;2e,139,4,beta,lattice,-1,,0,-1,False,angle_degree,1a;2d;2e
SG139|1a;2d;2e,139,5,gamma,lattice,-1,,0,-1,False,angle_degree,1a;2d;2e
SG139|1a;2d;2e,139,6,orbit2_fp0,wyckoff_orbit,2,2e,1,0,True,torus_fractional_coordinate,1a;2d;2e
SG166|1a;1b;2c,166,0,lattice_a,lattice,-1,,0,-1,False,positive_length,1a;1b;2c
SG166|1a;1b;2c,166,1,lattice_b,lattice,-1,,0,-1,False,positive_length,1a;1b;2c
SG166|1a;1b;2c,166,2,lattice_c,lattice,-1,,0,-1,False,positive_length,1a;1b;2c
SG166|1a;1b;2c,166,3,alpha,lattice,-1,,0,-1,False,angle_degree,1a;1b;2c
SG166|1a;1b;2c,166,4,beta,lattice,-1,,0,-1,False,angle_degree,1a;1b;2c
SG166|1a;1b;2c,166,5,gamma,lattice,-1,,0,-1,False,angle_degree,1a;1b;2c
SG166|1a;1b;2c,166,6,orbit2_fp0,wyckoff_orbit,2,2c,1,0,True,torus_fractional_coordinate,1a;1b;2c
SG221|1a;1b;3d,221,0,lattice_a,lattice,-1,,0,-1,False,positive_length,1a;1b;3d
SG221|1a;1b;3d,221,1,lattice_b,lattice,-1,,0,-1,False,positive_length,1a;1b;3d
SG221|1a;1b;3d,221,2,lattice_c,lattice,-1,,0,-1,False,positive_length,1a;1b;3d
SG221|1a;1b;3d,221,3,alpha,lattice,-1,,0,-1,False,angle_degree,1a;1b;3d
SG221|1a;1b;3d,221,4,beta,lattice,-1,,0,-1,False,angle_degree,1a;1b;3d
SG221|1a;1b;3d,221,5,gamma,lattice,-1,,0,-1,False,angle_degree,1a;1b;3d
SG129|2a;2c;2c,129,0,lattice_a,lattice,-1,,0,-1,False,positive_length,2a;2c;2c
SG129|2a;2c;2c,129,1,lattice_b,lattice,-1,,0,-1,False,positive_length,2a;2c;2c
SG129|2a;2c;2c,129,2,lattice_c,lattice,-1,,0,-1,False,positive_length,2a;2c;2c
SG129|2a;2c;2c,129,3,alpha,lattice,-1,,0,-1,False,angle_degree,2a;2c;2c
SG129|2a;2c;2c,129,4,beta,lattice,-1,,0,-1,False,angle_degree,2a;2c;2c
SG129|2a;2c;2c,129,5,gamma,lattice,-1,,0,-1,False,angle_degree,2a;2c;2c
SG129|2a;2c;2c,129,6,orbit1_fp0,wyckoff_orbit,1,2c,1,0,True,torus_fractional_coordinate,2a;2c;2c
SG129|2a;2c;2c,129,7,orbit2_fp0,wyckoff_orbit,2,2c,1,0,True,torus_fractional_coordinate,2a;2c;2c
SG194|2a;2c;2d,194,0,lattice_a,lattice,-1,,0,-1,False,positive_length,2a;2c;2d
SG194|2a;2c;2d,194,1,lattice_b,lattice,-1,,0,-1,False,positive_length,2a;2c;2d
SG194|2a;2c;2d,194,2,lattice_c,lattice,-1,,0,-1,False,positive_length,2a;2c;2d
SG194|2a;2c;2d,194,3,alpha,lattice,-1,,0,-1,False,angle_degree,2a;2c;2d
SG194|2a;2c;2d,194,4,beta,lattice,-1,,0,-1,False,angle_degree,2a;2c;2d
SG194|2a;2c;2d,194,5,gamma,lattice,-1,,0,-1,False,angle_degree,2a;2c;2d
SG127|2a;4g;4h,127,0,lattice_a,lattice,-1,,0,-1,False,positive_length,2a;4g;4h
SG127|2a;4g;4h,127,1,lattice_b,lattice,-1,,0,-1,False,positive_length,2a;4g;4h
SG127|2a;4g;4h,127,2,lattice_c,lattice,-1,,0,-1,False,positive_length,2a;4g;4h
SG127|2a;4g;4h,127,3,alpha,lattice,-1,,0,-1,False,angle_degree,2a;4g;4h
SG127|2a;4g;4h,127,4,beta,lattice,-1,,0,-1,False,angle_degree,2a;4g;4h
SG127|2a;4g;4h,127,5,gamma,lattice,-1,,0,-1,False,angle_degree,2a;4g;4h
SG127|2a;4g;4h,127,6,orbit1_fp0,wyckoff_orbit,1,4g,1,0,True,torus_fractional_coordinate,2a;4g;4h
SG127|2a;4g;4h,127,7,orbit2_fp0,wyckoff_orbit,2,4h,1,0,True,torus_fractional_coordinate,2a;4g;4h
SG230|8a;12c;12d;48h,230,0,lattice_a,lattice,-1,,0,-1,False,positive_length,8a;12c;12d;48h
SG230|8a;12c;12d;48h,230,1,lattice_b,lattice,-1,,0,-1,False,positive_length,8a;12c;12d;48h
SG230|8a;12c;12d;48h,230,2,lattice_c,lattice,-1,,0,-1,False,positive_length,8a;12c;12d;48h
SG230|8a;12c;12d;48h,230,3,alpha,lattice,-1,,0,-1,False,angle_degree,8a;12c;12d;48h
SG230|8a;12c;12d;48h,230,4,beta,lattice,-1,,0,-1,False,angle_degree,8a;12c;12d;48h
SG230|8a;12c;12d;48h,230,5,gamma,lattice,-1,,0,-1,False,angle_degree,8a;12c;12d;48h
SG230|8a;12c;12d;48h,230,6,orbit3_fp0,wyckoff_orbit,3,48h,3,0,True,torus_fractional_coordinate,8a;12c;12d;48h
SG230|8a;12c;12d;48h,230,7,orbit3_fp1,wyckoff_orbit,3,48h,3,1,True,torus_fractional_coordinate,8a;12c;12d;48h
SG230|8a;12c;12d;48h,230,8,orbit3_fp2,wyckoff_orbit,3,48h,3,2,True,torus_fractional_coordinate,8a;12c;12d;48h
SG191|1a;2c;3g,191,0,lattice_a,lattice,-1,,0,-1,False,positive_length,1a;2c;3g
SG191|1a;2c;3g,191,1,lattice_b,lattice,-1,,0,-1,False,positive_length,1a;2c;3g
SG191|1a;2c;3g,191,2,lattice_c,lattice,-1,,0,-1,False,positive_length,1a;2c;3g
SG191|1a;2c;3g,191,3,alpha,lattice,-1,,0,-1,False,angle_degree,1a;2c;3g
SG191|1a;2c;3g,191,4,beta,lattice,-1,,0,-1,False,angle_degree,1a;2c;3g
SG191|1a;2c;3g,191,5,gamma,lattice,-1,,0,-1,False,angle_degree,1a;2c;3g
SG129|2a;2b;2c;2c;2c,129,0,lattice_a,lattice,-1,,0,-1,False,positive_length,2a;2b;2c;2c;2c
SG129|2a;2b;2c;2c;2c,129,1,lattice_b,lattice,-1,,0,-1,False,positive_length,2a;2b;2c;2c;2c
SG129|2a;2b;2c;2c;2c,129,2,lattice_c,lattice,-1,,0,-1,False,positive_length,2a;2b;2c;2c;2c
SG129|2a;2b;2c;2c;2c,129,3,alpha,lattice,-1,,0,-1,False,angle_degree,2a;2b;2c;2c;2c
SG129|2a;2b;2c;2c;2c,129,4,beta,lattice,-1,,0,-1,False,angle_degree,2a;2b;2c;2c;2c
SG129|2a;2b;2c;2c;2c,129,5,gamma,lattice,-1,,0,-1,False,angle_degree,2a;2b;2c;2c;2c
SG129|2a;2b;2c;2c;2c,129,6,orbit2_fp0,wyckoff_orbit,2,2c,1,0,True,torus_fractional_coordinate,2a;2b;2c;2c;2c
SG129|2a;2b;2c;2c;2c,129,7,orbit3_fp0,wyckoff_orbit,3,2c,1,0,True,torus_fractional_coordinate,2a;2b;2c;2c;2c
SG129|2a;2b;2c;2c;2c,129,8,orbit4_fp0,wyckoff_orbit,4,2c,1,0,True,torus_fractional_coordinate,2a;2b;2c;2c;2c
SG123|1c;2h;2h,123,0,lattice_a,lattice,-1,,0,-1,False,positive_length,1c;2h;2h
SG123|1c;2h;2h,123,1,lattice_b,lattice,-1,,0,-1,False,positive_length,1c;2h;2h
SG123|1c;2h;2h,123,2,lattice_c,lattice,-1,,0,-1,False,positive_length,1c;2h;2h
SG123|1c;2h;2h,123,3,alpha,lattice,-1,,0,-1,False,angle_degree,1c;2h;2h
SG123|1c;2h;2h,123,4,beta,lattice,-1,,0,-1,False,angle_degree,1c;2h;2h
SG123|1c;2h;2h,123,5,gamma,lattice,-1,,0,-1,False,angle_degree,1c;2h;2h
SG123|1c;2h;2h,123,6,orbit1_fp0,wyckoff_orbit,1,2h,1,0,True,torus_fractional_coordinate,1c;2h;2h
SG123|1c;2h;2h,123,7,orbit2_fp0,wyckoff_orbit,2,2h,1,0,True,torus_fractional_coordinate,1c;2h;2h
SG216|1a;1d;4e,216,0,lattice_a,lattice,-1,,0,-1,False,positive_length,1a;1d;4e
SG216|1a;1d;4e,216,1,lattice_b,lattice,-1,,0,-1,False,positive_length,1a;1d;4e
SG216|1a;1d;4e,216,2,lattice_c,lattice,-1,,0,-1,False,positive_length,1a;1d;4e
SG216|1a;1d;4e,216,3,alpha,lattice,-1,,0,-1,False,angle_degree,1a;1d;4e
SG216|1a;1d;4e,216,4,beta,lattice,-1,,0,-1,False,angle_degree,1a;1d;4e
SG216|1a;1d;4e,216,5,gamma,lattice,-1,,0,-1,False,angle_degree,1a;1d;4e
SG216|1a;1d;4e,216,6,orbit2_fp0,wyckoff_orbit,2,4e,1,0,True,torus_fractional_coordinate,1a;1d;4e
SG225|1a;2c;6e,225,0,lattice_a,lattice,-1,,0,-1,False,positive_length,1a;2c;6e
SG225|1a;2c;6e,225,1,lattice_b,lattice,-1,,0,-1,False,positive_length,1a;2c;6e
SG225|1a;2c;6e,225,2,lattice_c,lattice,-1,,0,-1,False,positive_length,1a;2c;6e
SG225|1a;2c;6e,225,3,alpha,lattice,-1,,0,-1,False,angle_degree,1a;2c;6e
SG225|1a;2c;6e,225,4,beta,lattice,-1,,0,-1,False,angle_degree,1a;2c;6e
SG225|1a;2c;6e,225,5,gamma,lattice,-1,,0,-1,False,angle_degree,1a;2c;6e
SG225|1a;2c;6e,225,6,orbit2_fp0,wyckoff_orbit,2,6e,1,0,True,torus_fractional_coordinate,1a;2c;6e
SG227|2b;4c;8e,227,0,lattice_a,lattice,-1,,0,-1,False,positive_length,2b;4c;8e
SG227|2b;4c;8e,227,1,lattice_b,lattice,-1,,0,-1,False,positive_length,2b;4c;8e
SG227|2b;4c;8e,227,2,lattice_c,lattice,-1,,0,-1,False,positive_length,2b;4c;8e
SG227|2b;4c;8e,227,3,alpha,lattice,-1,,0,-1,False,angle_degree,2b;4c;8e
SG227|2b;4c;8e,227,4,beta,lattice,-1,,0,-1,False,angle_degree,2b;4c;8e
SG227|2b;4c;8e,227,5,gamma,lattice,-1,,0,-1,False,angle_degree,2b;4c;8e
SG227|2b;4c;8e,227,6,orbit2_fp0,wyckoff_orbit,2,8e,1,0,True,torus_fractional_coordinate,2b;4c;8e
SG227|2a;4d;8e,227,0,lattice_a,lattice,-1,,0,-1,False,positive_length,2a;4d;8e
SG227|2a;4d;8e,227,1,lattice_b,lattice,-1,,0,-1,False,positive_length,2a;4d;8e
SG227|2a;4d;8e,227,2,lattice_c,lattice,-1,,0,-1,False,positive_length,2a;4d;8e
SG227|2a;4d;8e,227,3,alpha,lattice,-1,,0,-1,False,angle_degree,2a;4d;8e
SG227|2a;4d;8e,227,4,beta,lattice,-1,,0,-1,False,angle_degree,2a;4d;8e
SG227|2a;4d;8e,227,5,gamma,lattice,-1,,0,-1,False,angle_degree,2a;4d;8e
SG227|2a;4d;8e,227,6,orbit2_fp0,wyckoff_orbit,2,8e,1,0,True,torus_fractional_coordinate,2a;4d;8e
SG140|2a;2c;4h;8l,140,0,lattice_a,lattice,-1,,0,-1,False,positive_length,2a;2c;4h;8l
SG140|2a;2c;4h;8l,140,1,lattice_b,lattice,-1,,0,-1,False,positive_length,2a;2c;4h;8l
SG140|2a;2c;4h;8l,140,2,lattice_c,lattice,-1,,0,-1,False,positive_length,2a;2c;4h;8l
SG140|2a;2c;4h;8l,140,3,alpha,lattice,-1,,0,-1,False,angle_degree,2a;2c;4h;8l
SG140|2a;2c;4h;8l,140,4,beta,lattice,-1,,0,-1,False,angle_degree,2a;2c;4h;8l
SG140|2a;2c;4h;8l,140,5,gamma,lattice,-1,,0,-1,False,angle_degree,2a;2c;4h;8l
SG140|2a;2c;4h;8l,140,6,orbit2_fp0,wyckoff_orbit,2,4h,1,0,True,torus_fractional_coordinate,2a;2c;4h;8l
SG140|2a;2c;4h;8l,140,7,orbit3_fp0,wyckoff_orbit,3,8l,2,0,True,torus_fractional_coordinate,2a;2c;4h;8l
SG140|2a;2c;4h;8l,140,8,orbit3_fp1,wyckoff_orbit,3,8l,2,1,True,torus_fractional_coordinate,2a;2c;4h;8l
SG139|1a;2c;2e;2e,139,0,lattice_a,lattice,-1,,0,-1,False,positive_length,1a;2c;2e;2e
SG139|1a;2c;2e;2e,139,1,lattice_b,lattice,-1,,0,-1,False,positive_length,1a;2c;2e;2e
SG139|1a;2c;2e;2e,139,2,lattice_c,lattice,-1,,0,-1,False,positive_length,1a;2c;2e;2e
SG139|1a;2c;2e;2e,139,3,alpha,lattice,-1,,0,-1,False,angle_degree,1a;2c;2e;2e
SG139|1a;2c;2e;2e,139,4,beta,lattice,-1,,0,-1,False,angle_degree,1a;2c;2e;2e
SG139|1a;2c;2e;2e,139,5,gamma,lattice,-1,,0,-1,False,angle_degree,1a;2c;2e;2e
SG139|1a;2c;2e;2e,139,6,orbit2_fp0,wyckoff_orbit,2,2e,1,0,True,torus_fractional_coordinate,1a;2c;2e;2e
SG139|1a;2c;2e;2e,139,7,orbit3_fp0,wyckoff_orbit,3,2e,1,0,True,torus_fractional_coordinate,1a;2c;2e;2e
SG201|2a;4b;4c;6d;24h,201,0,lattice_a,lattice,-1,,0,-1,False,positive_length,2a;4b;4c;6d;24h
