route_id,route_key,spacegroup,scaffold,scaffold_id,route_train_count,data_package,checkpoint
R001,sg216_1a_1b_1c_1d_6f,216,1a;1b;1c;1d;6f,SG216|1a;1b;1c;1d;6f,973,data,stage3/sg216_1a1b1c1d6f_v1.pt
R002,sg194_2d_6h,194,2d;6h,SG194|2d;6h,957,data,stage3/sg194_2d6h_v1.pt
R003,sg221_1a_3c,221,1a;3c,SG221|1a;3c,820,data,stage3/sg221_1a3c_v1.pt
R004,sg139_1a_1b_2d,139,1a;1b;2d,SG139|1a;1b;2d,819,data,stage3/sg139_1a1b2d.pt
R005,sg139_1a_2d_2e,139,1a;2d;2e,SG139|1a;2d;2e,623,data,stage3/sg139_1a2d2e_v1.pt
R006,sg166_1a_1b_2c,166,1a;1b;2c,SG166|1a;1b;2c,510,data,stage3/sg166_1a1b2c_v1.pt
R007,sg221_1a_1b_3d,221,1a;1b;3d,SG221|1a;1b;3d,385,data,stage3/sg221_1a1b3d_v1.pt
R008,sg129_2a_2c_2c,129,2a;2c;2c,SG129|2a;2c;2c,322,data,stage3/sg129_2a2c2c_v1.pt
R009,sg194_2a_2c_2d,194,2a;2c;2d,SG194|2a;2c;2d,269,data,stage3/sg194_2a2c2d_v1.pt
R010,sg127_2a_4g_4h,127,2a;4g;4h,SG127|2a;4g;4h,221,data,stage3/sg127_2a4g4h_v1.pt
R011,sg230_8a_12c_12d_48h,230,8a;12c;12d;48h,SG230|8a;12c;12d;48h,213,data,stage3/sg230_8a12c12d48h_v1.pt
R012,sg191_1a_2c_3g,191,1a;2c;3g,SG191|1a;2c;3g,181,data,stage3/sg191_1a2c3g_v1.pt
R013,sg129_2a_2b_2c_2c_2c,129,2a;2b;2c;2c;2c,SG129|2a;2b;2c;2c;2c,151,data,stage3/sg129_2a2b2c2c2c_v1.pt
R014,sg123_1c_2h_2h,123,1c;2h;2h,SG123|1c;2h;2h,149,data,stage3/sg123_1c2h2h_v1.pt
R015,sg216_1a_1d_4e,216,1a;1d;4e,SG216|1a;1d;4e,147,data,stage3/sg216_1a1d4e_v1.pt
R016,sg225_1a_2c_6e,225,1a;2c;6e,SG225|1a;2c;6e,141,data,stage3/sg225_1a2c6e_v1.pt
R017,sg227_2b_4c_8e,227,2b;4c;8e,SG227|2b;4c;8e,140,data,stage3/sg227_2b4c8e_v1.pt
R018,sg227_2a_4d_8e,227,2a;4d;8e,SG227|2a;4d;8e,133,data,stage3/sg227_2a4d8e.pt
R019,sg140_2a_2c_4h_8l,140,2a;2c;4h;8l,SG140|2a;2c;4h;8l,129,data,stage3/sg140_2a2c4h8l_v1.pt
R020,sg139_1a_2c_2e_2e,139,1a;2c;2e;2e,SG139|1a;2c;2e;2e,113,data,stage3/sg139_1a2c2e2e_v1.pt
R021,sg201_2a_4b_4c_6d_24h,201,2a;4b;4c;6d;24h,SG201|2a;4b;4c;6d;24h,111,data,stage3/sg201_2a4b4c6d24h_v1.pt
R022,sg139_1a_2e,139,1a;2e,SG139|1a;2e,111,data,stage3/sg139_1a2e_v1.pt
R023,sg123_1c_1d_2h_2h,123,1c;1d;2h;2h,SG123|1c;1d;2h;2h,109,data,stage3/sg123_1c1d2h2h_v1.pt
R024,sg191_1a_2d,191,1a;2d,SG191|1a;2d,105,data,stage3/sg191_1a2d_v1.pt
R025,sg227_2b_4c_4d_12f,227,2b;4c;4d;12f,SG227|2b;4c;4d;12f,104,data,stage3/sg227_2b4c4d12f_v1.pt
R026,sg139_1a_4f_4i_4j,139,1a;4f;4i;4j,SG139|1a;4f;4i;4j,101,data,stage3/sg139_1a4f4i4j_v1.pt
R027,sg189_1b_2c_3f_3g,189,1b;2c;3f;3g,SG189|1b;2c;3f;3g,317,data,stage3/sg189_1b2c3f3g_v1.pt
R028,sg123_1a_1b_1c_1d_2e_2f_4j_4k_4l_4m_4n_4o,123,1a;1b;1c;1d;2e;2f;4j;4k;4l;4m;4n;4o,SG123|1a;1b;1c;1d;2e;2f;4j;4k;4l;4m;4n;4o,240,data,stage3/sg123_1a1b1c1d2e2f4j4k4l4m4n4o_v1.pt
R029,sg189_1a_2d_3f_3g,189,1a;2d;3f;3g,SG189|1a;2d;3f;3g,214,data,stage3/sg189_1a2d3f3g_v1.pt
R030,sg164_1a_2d_2d,164,1a;2d;2d,SG164|1a;2d;2d,211,data,stage3/sg164_1a2d2d_v1.pt
R031,sg193_2b_4d_6g_6g,193,2b;4d;6g;6g,SG193|2b;4d;6g;6g,188,data,stage3/sg193_2b4d6g6g_v1.pt
R032,sg194_2a_4f_6h,194,2a;4f;6h,SG194|2a;4f;6h,184,data,stage3/sg194_2a4f6h_v1.pt
R033,sg166_1b_2c_2c_3e_6h,166,1b;2c;2c;3e;6h,SG166|1b;2c;2c;3e;6h,175,data,stage3/sg166_1b2c2c3e6h_v1.pt
