scaffold_id,space_group,crystal_system,K,wyckoff_sequence,D_rep,rho,support_count,released_train_count,val_count,test_count,median_n_atoms,serialized_lattice_dim,n_free_wyckoff_coords,packed_feature_dim
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,11,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,39,1.0,284,229,27,28,11,6,33,39
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,12,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,42,1.0,252,207,24,21,12,6,36,42
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,13,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,45,1.0,442,357,45,40,13,6,39,45
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,14,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,48,1.0,332,271,32,29,14,6,42,48
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,15,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,51,1.0,307,251,29,27,15,6,45,51
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,16,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,54,1.0,362,295,34,33,16,6,48,54
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,17,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,57,1.0,373,300,38,35,17,6,51,57
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,18,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,60,1.0,420,338,40,42,18,6,54,60
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,19,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,63,1.0,901,727,88,86,19,6,57,63
SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,1,triclinic,20,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,66,1.0,527,427,52,48,20,6,60,66
