model_id,public_name,paper_role,architecture,checkpoint_filename,size_bytes,sha256,generation_routes,zenodo_archive,zenodo_doi
v1_union_min5,UFO-MGen MP20 shared union model (v1_union_min5),Fig. 3 MP20 interpolation benchmark,StructuredWyckoffVectorField shared union model,union/v1_union_min5.pt,7051927,cda9b18a0b955fcb0bf3de6701cc8d3c826cde96bc9a6ef7508ae0e581d95039,shared/union,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
v1_union_min10,UFO-MGen MP20 shared union model (v1_union_min10),Fig. 3 MP20 coverage benchmark,StructuredWyckoffVectorField shared union model,union/v1_union_min10.pt,7019863,11b4cd7a0dd136de9e62706ec0fc4712da62f78d98d38f57550f455e6524762a,shared/union,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
v1_union_min5_topo,UFO-MGen MP20 shared union model (v1_union_min5_topo),Fig. 3 MP20 SG-extrapolation; Stage I AND scaffold identity bypassed (topology_chem_only),StructuredWyckoffVectorField shared union model,union/v1_union_min5_topo.pt,7051863,b83bb8e80f035b1e7a38e2cf18da91d80fb664ec9f27fb5d5bdf674acf377e7d,shared/union,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
SG107_3a_2b,UFO-MGen MP20 per-space-group specialist (SG107_3a_2b),Fig. 3 MP20 per-space-group benchmark pool,StructuredWyckoffVectorField per-space-group specialist,per_sg/SG107_3a_2b.pt,2199319,27ef36b842766f28a9030d2d7e66c59ca6584a5b3cbc4a1b31b412076f18321d,SG107_3a_2b,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
SG119_1a_1c_1d_2e,UFO-MGen MP20 per-space-group specialist (SG119_1a_1c_1d_2e),Fig. 3 MP20 per-space-group benchmark pool,StructuredWyckoffVectorField per-space-group specialist,per_sg/SG119_1a_1c_1d_2e.pt,2199319,4855a961101fff7d7055951f039480fdd651690c6147878058a78f9a912c4d37,SG119_1a_1c_1d_2e,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
SG121_1a_1b_2d_4i,UFO-MGen MP20 per-space-group specialist (SG121_1a_1b_2d_4i),Fig. 3 MP20 per-space-group benchmark pool,StructuredWyckoffVectorField per-space-group specialist,per_sg/SG121_1a_1b_2d_4i.pt,2200919,ebaad6b1985028638e95783b324ff46b5a8452e2c7af0b048b9a8f8325feda49,SG121_1a_1b_2d_4i,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
SG122_2a_2b_4d,UFO-MGen MP20 per-space-group specialist (SG122_2a_2b_4d),Fig. 3 MP20 per-space-group benchmark pool,StructuredWyckoffVectorField per-space-group specialist,per_sg/SG122_2a_2b_4d.pt,2198295,8db314edcc4ade65b0259968af348830c0676b506160cd07912c99836b06a12f,SG122_2a_2b_4d,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
SG122_2a_4d_8e,UFO-MGen MP20 per-space-group specialist (SG122_2a_4d_8e),Fig. 3 MP20 per-space-group benchmark pool,StructuredWyckoffVectorField per-space-group specialist,per_sg/SG122_2a_4d_8e.pt,2201367,4efde7b5b1ddb2087811f23f9d87541516434d88f57027fd208e9fd03d71562d,SG122_2a_4d_8e,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
SG123_1a_1b_1c_1d,UFO-MGen MP20 per-space-group specialist (SG123_1a_1b_1c_1d),Fig. 3 MP20 per-space-group benchmark pool,StructuredWyckoffVectorField per-space-group specialist,per_sg/SG123_1a_1b_1c_1d.pt,2197719,486173423461e937bbe78f1bf5689eab008b07c20f27e74e0ed8216f7d7c6c84,SG123_1a_1b_1c_1d,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
SG123_1a_1b_1c_4i,UFO-MGen MP20 per-space-group specialist (SG123_1a_1b_1c_4i),Fig. 3 MP20 per-space-group benchmark pool,StructuredWyckoffVectorField per-space-group specialist,per_sg/SG123_1a_1b_1c_4i.pt,2199319,ec501585a9fe5e59e59339e546f9a5b78312a46c06366bca48355a78dc678c0f,SG123_1a_1b_1c_4i,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
SG123_1a_1b_2h_4i,UFO-MGen MP20 per-space-group specialist (SG123_1a_1b_2h_4i),Fig. 3 MP20 per-space-group benchmark pool,StructuredWyckoffVectorField per-space-group specialist,per_sg/SG123_1a_1b_2h_4i.pt,2199319,09a0a5a6ddd42c6dad4e43b99315c8ac1092ca9a3aedc4e546dbaf628fcdec70,SG123_1a_1b_2h_4i,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
SG123_1a_1b_2h,UFO-MGen MP20 per-space-group specialist (SG123_1a_1b_2h),Fig. 3 MP20 per-space-group benchmark pool,StructuredWyckoffVectorField per-space-group specialist,per_sg/SG123_1a_1b_2h.pt,2198295,4be4be91260b3d046b7d2df58aafb3ccbceece525108a58c5fd6385a5cd33f8e,SG123_1a_1b_2h,UFO_MGen_MP20_paper_weights.tar.zst,PENDING
