model_id,public_name,paper_role,architecture,checkpoint_filename,size_bytes,sha256,generation_routes,zenodo_archive,zenodo_doi
stage1_hts,UFO-MGen Stage I (HTS),Stage-I topology selection / route interface,"CoreHierStage1 hidden=256 embed=64, hierarchical G->K->Wyckoff",stage1/hts.pt,43336538,439a29e91e44ad6849789d9df6e3050d01f79383f19991a6d93b412d1eae0165,,UFO_MGen_Final_weights.tar.zst,PENDING
stage2_com,UFO-MGen Stage II (COM),Chemistry for all UFO-MGen generation,"ChemicalOccupancyModule d_model=256 heads=8 layers=4, chem-constrained",stage2/com.pt,17397301,e9ccd1c364856fdd3791ee055b3c30bf042bc88eb5abd9d0784375403e7160ab,all 124,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg216_1a1b1c1d6f_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg216_1a1b1c1d6f_v1.pt,4198231,ffc95c64231084f3d234d3c6f5d5467dac9de780adb71c81cb0bec13a29ed5c7,sg216_1a_1b_1c_1d_6f,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg194_2d6h_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg194_2d6h_v1.pt,4194391,b3299f83d69f2e367f1281c01a4b7b6af2b0962378dc287be2d843d8eebe4276,sg194_2d_6h,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg221_1a3c_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg221_1a3c_v1.pt,4192279,1b68e3971c20e85ad4038a4cf2337cfbf990ccbc9f84a16897a189c51803c564,sg221_1a_3c,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg139_1a1b2d,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg139_1a1b2d.pt,4193559,975bbb554bb8cb869164bcb28a182fdb67f43da854854624be219ecc829b37ee,sg139_1a_1b_2d,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg139_1a2d2e_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg139_1a2d2e_v1.pt,4195671,9f18add9ccb7766c40c4014b616979b6128e0b6acccebf58cf9b4c833535b11b,sg139_1a_2d_2e,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg166_1a1b2c_v1_retraincontrol_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg166_1a1b2c_v1_retraincontrol_v1.pt,4195991,f6cdd57ebdb9ee5cf8d97a87d018070a5e37f85d5b93157ba1723881a7fe000e,sg166_1a_1b_2c,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg221_1a1b3d_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg221_1a1b3d_v1.pt,4193559,9b1902fa73dfbb94799c57bbd82e998bc5df29595cc618f72be3a8a0ed09f40b,sg221_1a_1b_3d,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg129_2a2c2c_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg129_2a2c2c_v1.pt,4195671,e7f2cfa03749e8bf35f3872bdbfa9adc971ca58c9d8a98ad3bcb41e594ee3b91,sg129_2a_2c_2c,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg194_2a2c2d_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg194_2a2c2d_v1.pt,4193559,986618d112176e8843e5d4b0cccc927e1a8fffebfaa82733fbb29f7e04541f32,sg194_2a_2c_2d,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg127_2a4g4h_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg127_2a4g4h_v1.pt,4195671,1a9b1f1b9b96ed835856e4b84717147cd65edb4de7a219d0df95784b91599388,sg127_2a_4g_4h,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg230_8a12c12d48h_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg230_8a12c12d48h_v1.pt,4201047,b06c6c6fd104c156c1d62f628c5389f35e013fcabcfdc0c52dd5a6f362050880,sg230_8a_12c_12d_48h,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg191_1a2c3g_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg191_1a2c3g_v1.pt,4193559,ec8a8e6926cef4debcc947f5270173c609eb4c447552e38cdbf370f508fdbdfb,sg191_1a_2c_3g,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg129_2a2b2c2c2c_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg129_2a2b2c2c2c_v1.pt,4198231,9f6b64c22e71610c0e6feae02f6af56ca30b319a690d446bebb94c9cee4542f2,sg129_2a_2b_2c_2c_2c,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg123_1c2h2h_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg123_1c2h2h_v1.pt,4195671,c69ff85c92468ee6e164733ff6b48e611e314e17cb7a16fa77eabc1183d6a1d0,sg123_1c_2h_2h,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg216_1a1d4e_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg216_1a1d4e_v1.pt,4195671,b666c8514cb542151a2e3ab4737089961c15bb5829727e9567d9c4a83a670dc9,sg216_1a_1d_4e,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg225_1a2c6e_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg225_1a2c6e_v1.pt,4195671,9712cb41e6464638a6cf174a2e80c23d13c7937137701cc408c830a1c8961c89,sg225_1a_2c_6e,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg227_2b4c8e_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg227_2b4c8e_v1.pt,4195671,0f663a9dde81991fc34859fc3cdef98bdaa01597957e335d8a87100d4ddbfef4,sg227_2b_4c_8e,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg227_2a4d8e,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg227_2a4d8e.pt,4195671,5c1e785423161ad60014503e623d5e9b6b5da9dc0048c597f39b2fdbb1fa9377,sg227_2a_4d_8e,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg140_2a2c4h8l_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg140_2a2c4h8l_v1.pt,4198999,2718f84a6af337ebc4a9eed2297a0d8665375812001c97d0a2ff94fc3469366f,sg140_2a_2c_4h_8l,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg139_1a2c2e2e_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg139_1a2c2e2e_v1.pt,4196951,88d2817d67c7246d616476ba02583ee525a13c639c64524435652a8d1af5cc38,sg139_1a_2c_2e_2e,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg201_2a4b4c6d24h_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg201_2a4b4c6d24h_v1.pt,4202327,394d52eef044435e668d8d47000b7fa47a41f72bd4a55c4f869a058753ca9454,sg201_2a_4b_4c_6d_24h,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg139_1a2e_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg139_1a2e_v1.pt,4194391,1a70da9fcc9c512d02a9c809a6dc63081e3ea192601f0dd720ec012a593a4214,sg139_1a_2e,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg123_1c1d2h2h_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg123_1c1d2h2h_v1.pt,4196951,a4a13df0aeead2afa7c7ef6363bf32a49a86de60b387c0bec7296ce2b73a7555,sg123_1c_1d_2h_2h,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg191_1a2d_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg191_1a2d_v1.pt,4192279,f1641e2ec645a234da8a51ce2a4cfb47d8c534f8842f9648cdc57a9fe6d9aa60,sg191_1a_2d,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg227_2b4c4d12f_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg227_2b4c4d12f_v1.pt,4196951,e4a84d7c4f05d61c3aa51a8d6855fcd07e093d876aa95da1dc910c67ce48eaa3,sg227_2b_4c_4d_12f,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg139_1a4f4i4j_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg139_1a4f4i4j_v1.pt,4196951,04a40f3cb8c004dcf3d4ba77a4752d62db2de0bde9d1efae49d681a699460dde,sg139_1a_4f_4i_4j,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg189_1b2c3f3g_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg189_1b2c3f3g_v1.pt,4196951,045f8a8b67585ac37b02914508a4d06b0aec07904b6d9e5f547ffe0430efc585,sg189_1b_2c_3f_3g,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg123_1a1b1c1d2e2f4j4k4l4m4n4o_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg123_1a1b1c1d2e2f4j4k4l4m4n4o_v1.pt,4207191,dcd028ca2c27f92d09fa85b9361b37fc5ce2566a978c67a83c6deab957ba238b,sg123_1a_1b_1c_1d_2e_2f_4j_4k_4l_4m_4n_4o,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg189_1a2d3f3g_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg189_1a2d3f3g_v1.pt,4196951,a2ad98f27707e4d01f28ccf0a4a1e337b83e99b5c3e1e81c476331d6b5ca7aeb,sg189_1a_2d_3f_3g,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg164_1a2d2d_v1_retraincontrol_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg164_1a2d2d_v1_retraincontrol_v1.pt,4195991,4a1327dd111cf00fed03e397ca2bdf8f53ddd54326dd668641b8ee68838166f8,sg164_1a_2d_2d,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg193_2b4d6g6g_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg193_2b4d6g6g_v1.pt,4196951,ea398626e14d2d53ed4bd1b587e539187931ee03250c0aa910d8b23a9b77f049,sg193_2b_4d_6g_6g,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg194_2a4f6h_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg194_2a4f6h_v1.pt,4195671,9887fbc2b4b5cfed6f0527e39a5cbd2c5775daacc15efb85b48b2d1d640d2038,sg194_2a_4f_6h,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg166_1b2c2c3e6h_v1_retraincontrol_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg166_1b2c2c3e6h_v1_retraincontrol_v1.pt,4200599,7660d6042f5e5219ec2aad9ad207432464aa3f46b078d072c48d1659bd223d9b,sg166_1b_2c_2c_3e_6h,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg160_1a1a1a1a_v1_retraincontrol_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg160_1a1a1a1a_v1_retraincontrol_v1.pt,4197271,937d75081cb1de92e2a87d434bb2249449691b5861a3564645100fb8a9391813,sg160_1a_1a_1a_1a,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg193_4d6g6g_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg193_4d6g6g_v1.pt,4195671,bf9b6503ca2108fc8d052db732ebc8facbd624f4d22c6898555337dd4709842b,sg193_4d_6g_6g,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg186_2a2b2b_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg186_2a2b2b_v1.pt,4195671,e96fd6991dfddc906ab8f2095b9d2c4ac8392898264b32a82e36dc132ec794d6,sg186_2a_2b_2b,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg107_1a1a1a2b_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg107_1a1a1a2b_v1.pt,4196951,a4b3f90ea6fb5687905f30e08fed79d5378a596005cf5d757e1dc82b8ca48068,sg107_1a_1a_1a_2b,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg216_4e4e4e6f6g,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg216_4e4e4e6f6g.pt,4198231,7321befd86e7369249219f7dd1c5fb86a1c01c75466a1e99e4dfba3c81945e0a,sg216_4e_4e_4e_6f_6g,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg71_1a1b2e_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg71_1a1b2e_v1.pt,4195671,565e4a664734c4d357a1dab31068abdac33478aecc9ffcb4c79e6c4d791cecbe,sg71_1a_1b_2e,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg71_1a1d2g_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg71_1a1d2g_v1.pt,4195671,082ebdeff383f0eb9b88671bfc5da1ac35ad58e87809e8553345f38d421c3fc3,sg71_1a_1d_2g,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg63_2c2c,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg63_2c2c.pt,4194391,258526b594a3acd0dd71cffece4fa6d63d9eb64a68ffa43eced04103a4093cd3,sg63_2c_2c,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg187_1a1b2i3j3k6n,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg187_1a1b2i3j3k6n.pt,4201559,d795024ffac52ff119748c98e8eef84e0cd9cdbb900528a9a13e292dfeb106eb,sg187_1a_1b_2i_3j_3k_6n,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg62_4c4c4c4c_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg62_4c4c4c4c_v1.pt,4198999,4132bf2a503c0137880ce74595f2c8578d9824b76a349d2d23f1f2e2e5757f35,sg62_4c_4c_4c_4c,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg38_1a1a1b1b2d2e_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg38_1a1a1b1b2d2e_v1.pt,4201559,5116f3c06ccacdb5069e1f702c5d75c1e0fe980a20c15b8ae16b2beddd4ab919,sg38_1a_1a_1b_1b_2d_2e,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg62_4c4c8d_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg62_4c4c8d_v1.pt,4199767,1fe04860ad93f9b9c6ecd3659808e9319cf8e376fccff81cf258e363acf22ab0,sg62_4c_4c_8d,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg12_1a2i2i2i_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg12_1a2i2i2i_v1.pt,4198999,c2590f7816e0c12cd6ec0b04c8830ecd55d87cba977aa9cdf2cc61608929bb14,sg12_1a_2i_2i_2i,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg63_2c2c4f4f4f_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg63_2c2c4f4f4f_v1.pt,4200279,390a2738bb84cf1f965da5a1ceee4fd8aaee24cece627ddc1cd7b1fed6d2182f,sg63_2c_2c_4f_4f_4f,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg14_4e4e4e4e4e4e4e_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg14_4e4e4e4e4e4e4e_v1.pt,4204887,3bafafc255b9ae40a3bbb440315f3d648433523b349f6befe2e5324cd6db430a,sg14_4e_4e_4e_4e_4e_4e_4e,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg173_2a2b2b6c6c6c_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg173_2a2b2b6c6c6c_v1.pt,4203607,97f90041e795dd0a19984ff9dad853fce2ce09013f20a653437e22f8aac98470,sg173_2a_2b_2b_6c_6c_6c,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg62_4c4c4c4c4c4c4c4c4c_collisionproxy005_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg62_4c4c4c4c4c4c4c4c4c_collisionproxy005_v1.pt,4205719,68aaee62e45a0c0d97a39c4a7bbbf20d62eba7163d5404ee7059e014f67ab245,sg62_4c_4c_4c_4c_4c_4c_4c_4c_4c;sg62_4c_4c_4c_4c_4c_4c_4c_4c_4c,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg14_4e4e4e4e4e4e4e4e4e_collisionproxy005_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg14_4e4e4e4e4e4e4e4e4e_collisionproxy005_v1.pt,4207767,45d0ef1ffb54a3d49a8e0903616fa80fcea56f11c1920f60b927ba5cf12e29d4,sg14_4e_4e_4e_4e_4e_4e_4e_4e_4e;sg14_4e_4e_4e_4e_4e_4e_4e_4e_4e,UFO_MGen_Final_weights.tar.zst,PENDING
stage3_sg14_4e4e4e4e4e4e4e4e4e4e_v1,UFO-MGen Stage III (SWG) route model,Main generation,StructuredWyckoffVectorField hidden=192 adapter=128 heads=4 layers=2 discrete_chem_topology_only,stage3/sg14_4e4e4e4e4e4e4e4e4e4e_v1.pt,4208919,1d4fd3fa84616286594d364fd5ae9ebceccd82ce6a8cc8cac73664b4384ae79a,sg14_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e;sg14_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e,UFO_MGen_Final_weights.tar.zst,PENDING
